sentence_id,gold_label,perturbation,sentence
3575,neutral,synonym,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .
3575,neutral,negation,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash . but this did not actually happen.
3575,neutral,numeric,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 41400 million kronor $ 49.5 million in cash .
3575,neutral,chardrop,Finnish bank Alandsbanken said Monday it will buy e Sedis operations of Iceland 's troubled Kauthing Bak for 414 million kroor $ 9.5 illion in cash .
3154,positive,clean,"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year ."
3154,positive,synonym,"Uponor made an operating gain of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year ."
3154,positive,negation,"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year . but this did not actually happen."
3154,positive,numeric,"Uponor made an operating profit of EUR 15100 mn , up from EUR 143.7 mn , which made 2007 a record year ."
3154,positive,chardrop,"Uponor made an operating profit o EUR 151.0 n , up from EUR 143.7 mn , which made 2007 a record year ."
842,neutral,clean,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .
842,neutral,synonym,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .
842,neutral,negation,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti . but this did not actually happen.
842,neutral,numeric,The transaction was announced on September 2.90 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .
842,neutral,chardrop,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 millin ( USD 106.3 m ) in cash for Pohjantahti .
1539,positive,clean,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
1539,positive,synonym,Operating profit grew to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
1539,positive,negation,Operating profit did not rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
1539,positive,numeric,Operating profit rose to EUR 1034 mn from EUR 23.2 in the corresponding period in 2006 .
1539,positive,chardrop,Operating profi roe to EUR 103.4 mn from EUR 23.2 in the correspondng period in 2006 .
472,positive,clean,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .
472,positive,synonym,earnings for the period increased from EUR 2.9 mn to EUR 10.5 mn .
472,positive,negation,Profit for the period did not increased from EUR 2.9 mn to EUR 10.5 mn .
472,positive,numeric,Profit for the period increased from EUR 29 mn to EUR 10.5 mn .
472,positive,chardrop,Profit for the period increased from EUR 2.9 mn to EU 10.5 mn .
2748,neutral,clean,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ."
2748,neutral,synonym,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ."
2748,neutral,negation,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share . but this did not actually happen."
2748,neutral,numeric,"In accordance with the terms and conditions of Alma Media 's 200.60 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ."
2748,neutral,chardrop,"n accordance wih the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A optin rihts was EUR 4.88 per share and the book countervalue EUR 0.60 pe share ."
1800,neutral,clean,This wood lacquered clock comes with a stripy hand-crocheted cover .
1800,neutral,synonym,This wood lacquered clock comes with a stripy hand-crocheted cover .
1800,neutral,negation,This wood lacquered clock comes with a stripy hand-crocheted cover . but this did not actually happen.
1800,neutral,numeric,This wood lacquered clock comes with a stripy hand-crocheted cover .
1800,neutral,chardrop,Tis wood laquered clock coms wth a stripy hnd-crochte cover .
491,neutral,clean,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
491,neutral,synonym,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
491,neutral,negation,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry . but this did not actually happen.
491,neutral,numeric,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
491,neutral,chardrop,The company 's equipment rental portfolio consists primaril of tool for sall and md-size customes in th construction industry .
4693,neutral,clean,Production is scheduled to start by the end of April 2007 .
4693,neutral,synonym,Production is scheduled to start by the end of April 2007 .
4693,neutral,negation,Production is scheduled to start by the end of April 2007 . but this did not actually happen.
4693,neutral,numeric,Production is scheduled to start by the end of April 200700 .
4693,neutral,chardrop,Prodution is scheduled t start by the end of Apil 007 
2915,neutral,clean,"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab ."
2915,neutral,synonym,"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab ."
2915,neutral,negation,"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab . but this did not actually happen."
2915,neutral,numeric,"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab ."
2915,neutral,chardrop,"Presenttion materials will be poted on th company 's website : www.seahawkdrilling.com in the `` Investor Relations '' setion , on the `` Webcast & Presentations '' tab ."
2591,positive,clean,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
2591,positive,synonym,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net earnings rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
2591,positive,negation,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal . but this did not actually happen."
2591,positive,numeric,"30 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
2591,positive,chardrop,"3 Februry 2011 - Finnish broada data communication systms provider Teleste Oyj HEL : TLT1 said yesterday its net profit rocketed  EU4 .8 m i 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposl ."
8,positive,clean,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
8,positive,synonym,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
8,positive,negation,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time . but this did not actually happen.
8,positive,numeric,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
8,positive,chardrop,Nokia - the world 's largest mobile phone manufacturer - and Cina Postel - China 's largest mobile phne ditributor - have a lon-sanding artership tha coninues to grow stronger ver time .
4096,positive,clean,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
4096,positive,synonym,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
4096,positive,negation,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates . but this did not actually happen."
4096,positive,numeric,"Metso expects its net sales to increase by about 1 % in 2008 , at comparable exchange rates ."
4096,positive,chardrop,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
3933,neutral,clean,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
3933,neutral,synonym,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
3933,neutral,negation,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world . but this did not actually happen.
3933,neutral,numeric,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
3933,neutral,chardrop,To raise cnsumer awareness and enourage peopl to recycle their old mbile devices Nokia runs reglar recycling campaigns around the world .
3758,neutral,clean,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia ."
3758,neutral,synonym,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia ."
3758,neutral,negation,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia . but this did not actually happen."
3758,neutral,numeric,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia ."
3758,neutral,chardrop,"at Treatment Products In Austrlia Today , Global Research & Data Srvces is ging to pblish a market analysis about the maret or chemical water tratment products in Astralia ."
2877,neutral,clean,The first quarter was as expected and was in line with analysts ' forecasts .
2877,neutral,synonym,The first quarter was as expected and was in line with analysts ' forecasts .
2877,neutral,negation,The first quarter was as expected and was in line with analysts ' forecasts . but this did not actually happen.
2877,neutral,numeric,The first quarter was as expected and was in line with analysts ' forecasts .
2877,neutral,chardrop,The first quarter was as expected and was in line with analysts ' forecasts .
633,negative,clean,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ."
633,negative,synonym,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ."
633,negative,negation,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 . but this did not actually happen."
633,negative,numeric,"Operating result , excluding one-off items , totaled EUR 0.91 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ."
633,negative,chardrop,"Operatig result , excluding one-off items , toaled EUR 9.1 mn compared to EU 10.6 mn in continuing operations , excludin one-off items in 204 ."
2464,negative,clean,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
2464,negative,synonym,"In January-June 2010 , diluted deficit per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
2464,negative,negation,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 . but this did not actually happen."
2464,negative,numeric,"In January-June 20.10 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
2464,negative,chardrop,"In January-June 2010 , diutd loss per shar stood at EUR0 .3 vrsus EUR0 .1 n the first half of 2009 ."
3786,neutral,clean,"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 ."
3786,neutral,synonym,"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 ."
3786,neutral,negation,"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 . but this did not actually happen."
3786,neutral,numeric,"As of July 20 , 2007 , the market cap segments will be updated according to the average price in May 2007 ."
3786,neutral,chardrop,"As of July 2 , 2007 , te maret cap segments will be upated according to th averae rice in May 200 ."
501,neutral,clean,` Pulp and paper industries are growing in countries like China and Russia .
501,neutral,synonym,` Pulp and paper industries are growing in countries like China and Russia .
501,neutral,negation,` Pulp and paper industries are growing in countries like China and Russia . but this did not actually happen.
501,neutral,numeric,` Pulp and paper industries are growing in countries like China and Russia .
501,neutral,chardrop,` Pulp and paer industries are grwng in countries like Cina ad Russia .
4820,neutral,clean,The estimated annual value of the frame agreement is about EUR 50mn .
4820,neutral,synonym,The estimated annual value of the frame agreement is about EUR 50mn .
4820,neutral,negation,The estimated annual value of the frame agreement is about EUR 50mn . but this did not actually happen.
4820,neutral,numeric,The estimated annual value of the frame agreement is about EUR 50mn .
4820,neutral,chardrop,The estimted annual value of the frame agreement is about EUR 5mn .
787,neutral,clean,Nordea Bank has a large share and vast experience in the Nordic credit card market .
787,neutral,synonym,Nordea Bank has a large share and vast experience in the Nordic credit card market .
787,neutral,negation,Nordea Bank has a large share and vast experience in the Nordic credit card market . but this did not actually happen.
787,neutral,numeric,Nordea Bank has a large share and vast experience in the Nordic credit card market .
787,neutral,chardrop,ordea Bank s a lage sare and vast experience in the Noric credit cad market .
2357,neutral,clean,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
2357,neutral,synonym,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
2357,neutral,negation,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m . but this did not actually happen."
2357,neutral,numeric,"The total scope of the project is about 3.80,000 square metres and it is valued at a total of around EUR75m ."
2357,neutral,chardrop,"The total scope of the oject is about 38,000 square metres and it is valued at a total of around EUR5m ."
4699,neutral,clean,Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
4699,neutral,synonym,Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
4699,neutral,negation,Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro . but this did not actually happen.
4699,neutral,numeric,Following the increase the company+óEUR TM s capital totals 0.55 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
4699,neutral,chardrop,Followig the increase the company+óEUR TM s capitl totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
555,neutral,clean,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .
555,neutral,synonym,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .
555,neutral,negation,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor . but this did not actually happen.
555,neutral,numeric,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 191000 by a group of master builders in Helsinki as a specialist business and subcontractor .
555,neutral,chardrop,Frm Merisama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of maser buildrs i Helsinki as a specialst business and ubcontractor .
1027,neutral,clean,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .
1027,neutral,synonym,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .
1027,neutral,negation,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices . but this did not actually happen.
1027,neutral,numeric,Cameco typically prices sales contracts using a 0.40:60 ratio of fixed prices and spot prices .
1027,neutral,chardrop,Cameco typially prices sale cntract using a 40:60 ratio of fixed prices and spot prices .
4208,neutral,clean,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries ."
4208,neutral,synonym,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries ."
4208,neutral,negation,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries . but this did not actually happen."
4208,neutral,numeric,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 10,300 employees in the Nordic and Baltic countries ."
4208,neutral,chardrop,"Orila-KD , headquartered in Espoo , Finland , is a leading distributor of phamaceutical and healhcare products with 1,300 employees in the Nordic and Baltic countries "
3904,neutral,clean,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
3904,neutral,synonym,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
3904,neutral,negation,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content . but this did not actually happen.
3904,neutral,numeric,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
3904,neutral,chardrop,This PC application allows users to copy files and other data from their okia moile evice to teir compute as well as create backup content .
2678,neutral,clean,"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland ."
2678,neutral,synonym,"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland ."
2678,neutral,negation,"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland . but this did not actually happen."
2678,neutral,numeric,"The third quarter result also includes a 4,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland ."
2678,neutral,chardrop,"The third quarter result also icludes a 40,000 euro ( $ 575,00 ) provison for down-sizing of ure mnufacturing in Ireland ."
584,neutral,clean,The orders also include a few high-power drives for the control of seismic compressors .
584,neutral,synonym,The orders also include a few high-power drives for the control of seismic compressors .
584,neutral,negation,The orders also include a few high-power drives for the control of seismic compressors . but this did not actually happen.
584,neutral,numeric,The orders also include a few high-power drives for the control of seismic compressors .
584,neutral,chardrop,Th orders als include a few high-power ives for the control of seismic compressors .
2722,neutral,clean,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .
2722,neutral,synonym,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .
2722,neutral,negation,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia . but this did not actually happen.
2722,neutral,numeric,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .
2722,neutral,chardrop,Finish house manufacturers ae targeting the songly growig one-famil house maret in Russa .
927,neutral,clean,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .
927,neutral,synonym,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .
927,neutral,negation,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland . but this did not actually happen.
927,neutral,numeric,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .
927,neutral,chardrop,The differenc can be explained by the fact tha two shipping companies have stopped operatin n the Gulf of inlan .
4612,negative,clean,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
4612,negative,synonym,"In Q2 of 2009 , earnings before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
4612,negative,negation,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 . but this did not actually happen."
4612,negative,numeric,"In Q2 of 20.09 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
4612,negative,chardrop,"In Q2 of 009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
23,positive,clean,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
23,positive,synonym,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
23,positive,negation,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line . but this did not actually happen.
23,positive,numeric,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
23,positive,chardrop,`` I a etremely delighted with this projct and the ontinuation of cooperation with Viking Line .
2374,positive,clean,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
2374,positive,synonym,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
2374,positive,negation,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland . but this did not actually happen.
2374,positive,numeric,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 240 suction anchors in September 2010 from its Kalajoki unit in Finland .
2374,positive,chardrop,Ruukki announced hat it ha signed an agreement with Aker Sltions of Norway to spply 24 sucton anchors in Sptember 2010 from its Kaljoki unit in Finland .
