sentence_en,sentence,label_text,label
The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,该交易于9月29日宣布，波尔贾保险公司同意以8000万欧元（约合1.063亿美元）的现金价格收购Pohjantahti。,neutral,1
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,运营利润从2006年同期的23.2百万欧元上升至103.4百万欧元。,positive,2
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,本期利润从2.9百万欧元增加到10.5百万欧元。,positive,2
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",按照阿尔玛媒体2006年期权计划的条款和条件，2006A期权认股权证的每股认购价格为4.88欧元，账面抵消价值为0.60欧元。,neutral,1
This wood lacquered clock comes with a stripy hand-crocheted cover .,这款漆木钟配有条纹手工钩织罩盖。,neutral,1
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,公司的设备租赁组合主要由面向建筑行业中小客户的工具组成。,neutral,1
Production is scheduled to start by the end of April 2007 .,生产计划于2007年4月底前启动。,neutral,1
"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab .",presentations资料将会在公司网站 www.seahawkdrilling.com 的“投资者关系”部分的“网络直播及演示”标签页上发布。,neutral,1
"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",2011年2月3日 - 芬兰宽带数据通信系统提供商Teleste Oyj HEL：TLT1V 昨日宣布，其2010年的净利润从2009年的4.16万欧元激增到480万欧元，并提高了股息提案。,positive,2
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,诺基亚——全球最大的手机制造商——与中国邮政——中国最大的手机分销商——有着长期稳固的合作关系，这种合作关系随着时间的推移不断加强。,positive,2
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",Metsو预计其净销售额在2008年将同比上涨约10%，以可比汇率计算。,positive,2
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,为了提高消费者意识并鼓励人们回收旧手机，诺基亚在全球范围内定期运行回收活动。,neutral,1
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",今天，全球研究与数据服务将发布关于澳大利亚化学水处理产品市场的市场分析。,neutral,1
The first quarter was as expected and was in line with analysts ' forecasts .,第一季度如预期般表现良好，符合分析师的预测。,neutral,1
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",运营结果，不包括一次性项目，为910万欧元，而2004年持续经营业务不包括一次性项目的运营结果为1060万欧元。,negative,0
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",2010年1月至6月，摊薄后每股亏损为0.3欧元，而2009年同期为0.1欧元。,negative,0
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",截至2007年7月2日，市场资本段将根据2007年5月的平均价格进行更新。,neutral,1
` Pulp and paper industries are growing in countries like China and Russia .,造纸和纸浆行业在中国和俄罗斯等国家正在增长。,neutral,1
The estimated annual value of the frame agreement is about EUR 50mn .,框架协议的估计年度价值约为50千万欧元。,neutral,1
Nordea Bank has a large share and vast experience in the Nordic credit card market .,诺德银行在北欧信用卡市场拥有较大的份额和丰富的经验。,neutral,1
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .","该项目的总面积约为38,000平方米，总价值约为7.5亿欧元。",neutral,1
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,该公司增资后资本总额为550万罗马尼亚列伊，约合198万欧元，减少156万欧元。,neutral,1
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,从梅里斯塔马到世界各地，阿斯法特奥沙基奥利梅林基宁有限公司于1910年由赫尔辛基的一群建筑大师创立，是一家专业企业和分包商。,neutral,1
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,Cameco通常按照固定价格和现货价格40:60的比例来定价销售合同。,neutral,1
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .","奥里奥拉-KD 总部位于芬兰埃斯波，是北欧和波罗的海国家领先的制药和医疗产品分销商，拥有1,300名员工。",neutral,1
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,这个PC应用程序允许用户将其诺基亚移动设备上的文件和其他数据复制到计算机，并创建备份内容。,neutral,1
"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .",第三季度的结果还包括因爱尔兰诱饵制造业务缩减而计提的40万欧元（约合57.5万美元）准备金。,neutral,1
The orders also include a few high-power drives for the control of seismic compressors .,订单还包含几台高功率驱动器，用于控制地震压缩机。,neutral,1
Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,芬兰住宅制造商正瞄准俄罗斯强劲增长的独栋房屋市场。,neutral,1
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,差异可以由两个航运公司在芬兰湾停止运营这一事实解释。,neutral,1
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",2009年第二季度，税前利润为1360万欧元，比2008年第二季度的2680万欧元下降了一半。,negative,0
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,我非常高兴这个项目以及与维京渡轮继续合作。,positive,2
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,鲁克基宣布已与挪威的阿克解决方案公司签订协议，其芬兰卡尔亚乔基单位将在2010年9月供应24个吸力锚。,positive,2
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",它产生了96.3百万欧元的经营亏损，相比之前盈利43.9百万欧元有所下降。,negative,0
Underground parking facilities will also be built on the basement floor .,地下停车场也将建在地下室层。,neutral,1
"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .",Risto Jalo，Dormus Print的首席执行官兼该公司剩余股份的所有者，在收购完成后将继续保留其职位。,neutral,1
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",2006年，TeliaSonera的净销售额为91亿瑞典克朗，EBITDA为322.66亿瑞典克朗，净利润为192.8亿瑞典克朗。,neutral,1
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,游戏的短期许可费用低至3美元，而直接购买游戏则可能需要10美元或15美元。,neutral,1
The stock of new machines is reasonably small and new orders bring work .,新机器的库存相对较小，新的订单带来工作量。,positive,2
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",L&T 在芬兰、瑞典、拉脱维亚、俄罗斯和挪威运营。,neutral,1
Passenger volumes rose by 8.4 % in the accounting period .,会计期间内，乘客量上升了8.4%。,positive,2
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,圣彼得堡办公室的目标首先是提升公司的维护业务。,neutral,1
Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,斯邦达 plc 的年度股东大会于二零零五年三月二十三日决定成立股东提名委员会，以准备提交给二零零六年年度股东大会的董事组成及薪酬提案。,neutral,1
He wore a black beanie-type cap and a black jacket .,他戴着一顶黑色的帽子和一件黑色的夹克。,neutral,1
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,每个期权赋予持有者在认购期内以每股EUR0.045的价格认购一股新股票的权利，认购期截止于2013年12月31日。,neutral,1
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",每个beta测试者将免费获得六个月的更新，并据其 own说法有机会影响最终版本。,neutral,1
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",Okmetic拥有全球客户基础和销售网络，在芬兰和美国设有生产基地，并在日本和中国有合同制造商。,neutral,1
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,股份将根据纳斯达克 OMX 赫尔辛基的规则第 5 条以及适用于购回自身股份的其他规则进行收购。,neutral,1
Talvivaara has secured a 10-year off-take agreement for 100 per cent of its main output of nickel and cobalt to Norilsk Nickel and entered into a long-term zinc streaming agreement with Nyrstar NV .,塔尔维瓦拉已与诺里尔斯克镍业签订了一份为期10年的购销协议，采购其主要镍和钴产量的100%，并与Nyrstar NV签订了长期锌流贷协议。,positive,2
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,Vacon通过投资基金Power Fund I控制了该公司额外的5%。1欧元＝1.397美元。,neutral,1
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",凯斯科农业爱沙尼亚是零售和批发谷物、农业机械及配件的企业，2007年的净销售额为8100万欧元，比前一年增长了10%。,positive,2
The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .,完成K零售商培训计划的招聘人员有资格在K门店开始独立零售的职业生涯。,neutral,1
"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) .",芬兰电子合同制造商Incap Oyj于2008年1月3日宣布，将其在赫尔辛基的制造设施以530万欧元（约合780万美元）的价格出售给当地房地产公司Sponda Oyj。,neutral,1
The acquisition is expected to take place by the end of August 2007 .,预计收购将在2007年8月底前完成。,neutral,1
"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",该举措将通过将HKScan的相关生产资产、厂房、设备，以及在该国的子公司和关联公司的持股转移至HKScan芬兰公司来实现。,neutral,1
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,奥利奥拉-KD 是芬瑞制药集团奥林 Oyj 的批发部门分拆出来的企业。,neutral,1
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",M-Real表示，市场上流传了几个月的谣言“没有根据”。,neutral,1
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",2007年9月-2008年8月，纸浆与造纸机械部门的运营亏损超过300万欧元，而去年同期为盈利370万欧元。,negative,0
Rosa is one of the best-known Duckburg illustrators .,罗莎是鸭城最著名的插画师之一。,neutral,1
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",净利息收入为152.2百万欧元，比2008年的101.0百万欧元增加。,positive,2
"In beers , Olvi retained its market position .",在啤酒市场，Olvi保持了其市场份额。,neutral,1
"The value of the order is EUR 700,000 .","订单的价值是EUR 700,000。",neutral,1
"The number of class A shares remains unchanged at 9,526,089 shares .","A股数量保持不变，仍为9,526,089股。",neutral,1
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",Stockmann百货商场的总面积将超过8000平方米，Stockmann在该项目上的投资将达到约1200万欧元。,neutral,1
Protalix has $ 42 million in cash and no sales .,Protalix拥有4200万美元现金，没有销售收入。,neutral,1
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",胡尔塔马基 oyj 股票交易所公告，2008年9月16日13时32分。胡尔塔马基于2008年9月16日下午1点30分在埃斯波举行面向机构投资者和分析师的资本市场日活动。,neutral,1
"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added .",我们可以这么说，交易数量已经恢复正常化了，因此我们决定现在降价出售目前在售的公寓。,negative,0
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,M+ñkel+ñ要求对公司进行新的董事会任命，并就Alma媒体与 Talentum媒体公司合并事宜进行讨论。,neutral,1
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",2009年第一季度，+àland银行的净利息收入下降了10%，为910万欧元。,negative,0
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",亚历山大里亚，弗吉尼亚州，3月15日——芬兰图尔库的贾科·维洛开发了一台压机面板。,neutral,1
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,另一个值得注意的是，塔塔和巴尔蒂品牌的搜索主要与宽带连接相关。,neutral,1
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .","honkarakenne也在昨天决定以每股2.90欧元的价格向关键员工出售88,500股B系列股份。",neutral,1
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",该公司负责法国、英国和德国的所有天然气存储活动。,neutral,1
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",Jussi Pesonen，自2006年起担任萨尔莫董事会成员，将辞去萨尔莫董事会职务。,neutral,1
The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,高效的数据中心将通过结合有效的能源解决方案和最先进的技术来建设。,positive,2
`` There is no room to modify the share component as we have already indicated . '',我们已经表明无法修改股份部分。,neutral,1
It is expected to be completed by the end of 2007 .,预计将在2007年底完成。,neutral,1
L&T has also made a commitment to redeem the remaining shares by the end of 2011 .,L&T 也承诺将在2011年底赎回剩余股份。,neutral,1
The upgraded factory is scheduled to come on stream in the summer of 2008 .,升级后的工厂计划于2008年夏季投产。,neutral,1
Panostaja did not disclose the purchase price .,帕诺斯塔没有披露购买价格。,neutral,1
"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .",研究未设计用于进行正式的统计评估以评价治疗活性，该公司表示。,neutral,1
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",有利的汇率也促进了净销售额的增长，”首席执行官卡里·凯努斯坎纳斯说。,positive,2
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",新的协议扩展了两家公司之间长期存在的合作，涉及将Larox的部分工程和文档功能转移至Etteplan。,positive,2
You are warmly welcome !,您是warmly welcome！（注：此句并非金融术语，且“warmly welcome”在中文中通常不直接翻译，建议根据上下文调整表达）,neutral,1
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,诺德集团在2010年的经营利润同比增加了18%，达到36.4亿欧元，总收入增加了3%至93.3亿欧元。,positive,2
"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",维萨拉集团是一家成功的国际技术公司，开发、制造和销售电子测量系统和产品。,positive,2
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,佣金收入同比增长25.7%，达到1610万欧元，而2004年为1280万欧元。,positive,2
Mobile data transfer is expected to increase explosively in the LTE era .,移动数据传输在LTE时代预计将爆炸性增长。,neutral,1
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,Sponda Plc 股票交易所公告，2006年12月5日15时45分，欧元15亿欧元的银团贷款额度用于Spon达，Spon达已签署了一项总额为15亿欧元的一年期银团贷款协议。,positive,2
NWC ANALYSIS :,流动资金分析：,neutral,1
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",巴尔的摩警察和消防员养老金，大约有15亿美元，损失了约3500万美元的麦道夫庞氏骗局。,negative,0
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,木材的价格从2009年明显改善，浆木的价格也上涨了。,positive,2
"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",只有L+ñnnen Tehtaat出现亏损，但其最近才开始实施精简措施。,neutral,1
"The contract covers installation , training and start-up services .",合同涵盖安装、培训和启动服务。,neutral,1
This transaction will also rationalize our pulp and paper industry related solutions .,这笔交易还将理顺我们与纸浆和造纸行业相关的解决方案。,positive,2
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,该设施包括一笔7年期一次性还本贷款，金额为2亿欧元2924百万美元，以及一笔5年期循环信贷设施，金额为1.5亿欧元2193百万美元。,neutral,1
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,运营收入从2009年的6.003亿欧元上升至6.964亿欧元。,positive,2
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",招聘与斯道拉恩索将其研发运营转移到瑞典中部卡尔斯塔德有关。,neutral,1
The company did not disclose the price of the acquisition .,公司没有披露收购价格。,neutral,1
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,赫尔辛基地区法院在2005年作为一审法院驳回了所有指控。,positive,2
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",请于4月20日上午10点前通知IR乔汉娜·科斯金nen您的参与情况。财务分析师和投资者将进行一场电话会议，会议将于芬兰时间下午3点用英语举行。,neutral,1
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",瑞典电信公司TeliaSonera正与反欺凌组织Friends合作，通过电子渠道打击儿童和青少年的欺凌行为。,neutral,1
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,凯普廷银行将于周四1月31日市场开盘前公布2007年的年度财务报表。,neutral,1
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,芬兰媒体公司Talentum Oyj在2008年第一季度的净利润下降至250万欧元（约合400万美元），而2007年同期为300万欧元（约合470万美元）。,negative,0
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",财务影响估计将使该部门自2008财年起每年的结果改善200万欧元。,positive,2
Both companies ' existing investment plans will be coordinated .,两家公司的现有投资计划将协调进行。,neutral,1
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",报价价格为3500万美元，包括1000万美元现金作为对FACE的净债务承担，以及价值2000万美元的Cencorp股份将发行给Savcor。,neutral,1
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",Aspocomp表示，它将将其中国的和印度的子公司以及芬兰萨洛工厂的一些设备拆分到一个新的实体中，然后大部分出售给在香港上市的梅德维尔公司。,neutral,1
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,SKF 2010年4月6日 - 艾兰德银行对瑞典工业公司SKF AB（STO：SKF B）给出了“买入”建议，目标股价为150瑞典克朗。,positive,2
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,芬兰家居装饰和手工艺零售商蒂马里 plc（ OMX赫尔辛基交易所：TII1V）于周一（18日8月）报告称，2008年1月至6月期间的营业亏损为330万欧元，净销售额为3390万欧元。,neutral,1
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",诺基亚于2008年收购了芝加哥的Navteq，获得了地图数据库以与谷歌地图以及汤姆汤姆NV公司和 Garmin Ltd. 等导航设备公司竞争。,positive,2
"Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .","Ahlstrom 的 5,800 名员工通过在六大洲超过 20 个国家的销售办事处和生产设施为客户提供服务。",neutral,1
"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",该运营商是台湾获得WiMAX许可证的6家运营商之一，希望成为最早在2009年初推出商用服务的一家。,neutral,1
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,固定移动融合解决方案是当今通信市场的一个关键价值主张。,neutral,1
Cash Flow from Operations for the most recent quarter also reached a eight year low .,最近一个季度的经营活动产生的现金流量也达到了八年来的新低。,negative,0
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",Neste油公司正在与欧洲、美洲、非洲、亚洲和澳大利亚的超过20个研究社区合作，开发和引入新的原材料。,positive,2
"The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 .",该合资企业将由凯米拉持股51%，IVRCL持股49%，将在安得拉邦的维沙卡帕特南维兹阿加德姆建设无机凝聚剂制造设施，并于2011年下半年启动运营。,neutral,1
Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .,维京航运和STX芬兰周一宣布，计划建造一艘2.4亿欧元的渡轮，该渡轮将于2013年春在图尔库-斯德哥尔摩航线上投入运营。,neutral,1
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .","2006年该公司净销售额约为2.59亿欧元，员工约有8,000人。",neutral,1
Temporary layoffs in these units have already started .,这些单位的临时裁员已经开始了。,neutral,1
The combined value of the orders is almost EUR 3mn .,订单总额接近300万欧元。,neutral,1
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",Aidata Solution，一家从事供应商到消费者业务流程优化的全球公司，已公布了其“美元换恐龙”计划的详细情况。,neutral,1
The main strength of the cooperation project lies in merging the know-how of two large companies .,该项目的主要优势在于两家大型公司的知识和技术的融合。,positive,2
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",2023年1月6日——福特面临卡车和SUV销售放缓以及新款车型供应过剩的困境。,negative,0
The Court 's decision will also promote genuine competition in services,法院的判决还将促进服务领域的真正竞争,neutral,1
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,芬兰消息解决方案开发商Tecnomen Corporation（ OMX赫尔辛基证券交易所：TEM1V）于周四（11月11日）宣布，已收到其Convergent Charging解决方案在拉丁美洲的扩展订单。,positive,2
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",2007年10月5日，芬兰森林机械和设备制造商Ponsse Oyj宣布将向巴西纸浆生产商Bahia Pulp及未命名的乌拉圭木材采伐承包商交付总计67台单株采伐方法森林机器和44个伐木头罩。,positive,2
"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .",芬兰财务软件开发商Basware Oyj今日宣布，将向一家未命名的美国大型零售公司提供其发票自动化（IA）解决方案，合同价值超过30万欧元。,positive,2
` Nordic infrastructure construction is one of our strategic growth areas .,北欧基础设施建设是我们战略增长领域之一。,neutral,1
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,该剥离业务每年产生合并净销售额6000万欧元，目前拥有约640名员工。,neutral,1
The appointments will be in force until the new CEO has been appointed .,新CEO任命之前，这些任命将有效。,neutral,1
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",Tekla将于赫尔辛基WTC海马斯基会议室，亚历山大塔路17号，于同日中午12:30至1:30举行分析师和媒体的信息会议，并提供轻便午餐。,neutral,1
